Index Number,Quarter,Quarterly Close
0,1996 Q1,939.66
1,1996 Q2,1108.68
2,1996 Q3,1004.29
3,1996 Q4,878.86
4,1997 Q1,979.78
5,1997 Q2,1106.07
6,1997 Q3,1148.99
7,1997 Q4,1062.5
8,1998 Q1,1045.09
9,1998 Q2,1050.91
10,1998 Q3,895.78
11,1998 Q4,841.66
12,1999 Q1,1007.32
13,1999 Q2,1095.72
14,1999 Q3,1377.56
15,1999 Q4,1392.54
16,2000 Q1,1575.51
17,2000 Q2,1418.97
18,2000 Q3,1331.93
19,2000 Q4,1234.02
20,2001 Q1,1286.33
21,2001 Q2,1133.4
22,2001 Q3,1010.92
23,2001 Q4,1031.78
24,2002 Q1,1115.29
25,2002 Q2,1056.79
26,2002 Q3,977.27
27,2002 Q4,1029.94
28,2003 Q1,1027.17
29,2003 Q2,1021.71
30,2003 Q3,1316.1
31,2003 Q4,1677.93
32,2004 Q1,1793.91
33,2004 Q2,1588.98
34,2004 Q3,1669.01
35,2004 Q4,1938.29
36,2005 Q1,2065.31
37,2005 Q2,2066.06
38,2005 Q3,2429.73
39,2005 Q4,2612.82
40,2006 Q1,3154.73
41,2006 Q2,3245.24
42,2006 Q3,3376.82
43,2006 Q4,3886.98
44,2007 Q1,3880.53
45,2007 Q2,4232.72
46,2007 Q3,4664.92
47,2007 Q4,5931.98
48,2008 Q1,5027.22
49,2008 Q2,4667.04
50,2008 Q3,4199.81
51,2008 Q4,2865.37
52,2009 Q1,2884.55
53,2009 Q2,4047.78
54,2009 Q3,4789.86
55,2009 Q4,4977.64
56,2010 Q1,5015.16
57,2010 Q2,5224.64
58,2010 Q3,5591.91
59,2010 Q4,6003.93
60,2011 Q1,5553.79
61,2011 Q2,5651.82
62,2011 Q3,5136.53
63,2011 Q4,4918.99
64,2012 Q1,5292.79
65,2012 Q2,5147.9
66,2012 Q3,5392.65
67,2012 Q4,5800.1
68,2013 Q1,5801.17
69,2013 Q2,5919.15
70,2013 Q3,5648.28
71,2013 Q4,6259.47
72,2014 Q1,6351.74
73,2014 Q2,7169.34
74,2014 Q3,7879.34
75,2014 Q4,8396.63
76,2015 Q1,8732.13
77,2015 Q2,8327.19
78,2015 Q3,8146.61
79,2015 Q4,7982.25
80,2016 Q1,7422.61
81,2016 Q2,8097.11
82,2016 Q3,8678.28
83,2016 Q4,8342.99
84,2017 Q1,8868.02
85,2017 Q2,9481.14
86,2017 Q3,9927.17
87,2017 Q4,10363.42
88,2018 Q1,10538.11
89,2018 Q2,10729.93
90,2018 Q3,11318.3
91,2018 Q4,10706.19
92,2019 Q1,11075.93
93,2019 Q2,11819.7
94,2019 Q3,11203.56
95,2019 Q4,12033.39
96,2020 Q1,10483.17
97,2020 Q2,9905.75
98,2020 Q3,11235.43
