Year,Primary Sector,Secondary Sector,Tertiary Sector,Total,,,,
1950-51,52.55,10.75,35.91,99.21,,,,
1951-52,51.46,11.32,36.47,99.25,,,,
1952-53,50.87,10.85,37.94,99.66,,,,
1953-54,51.4,11.21,36.84,99.45,,,,
1954-55,46.71,12.39,41.14,100.24,,,,
1955-56,44.62,12.58,43.41,100.61,,,,
1956-57,47.45,12.54,39.88,99.87,,,,
1957-58,45.61,13.12,41.43,100.16,,,,
1958-59,47.22,12.56,40.05,99.83,,,,
1959-60,45.22,13.42,41.42,100.06,,,,
1960-61,43.6,14.27,42.24,100.11,,,,
1961-62,42.81,14.93,42.32,100.06,,,,
1962-63,41.06,15.53,43.82,100.41,,,,
1963-64,42.19,15.53,42.39,100.11,,,,
1964-65,43.96,14.67,41.12,99.75,,,,
1965-66,42.01,14.98,43.09,100.08,,,,
1966-67,42.87,14.49,42.47,99.83,,,,
1967-68,45.57,13.24,40.65,99.46,,,,
1968-69,44.57,13.68,41.33,99.58,,,,
1969-70,44.35,14.35,40.76,99.46,,,,
1970-71,43,14.77,41.89,99.66,,,,
1971-72,41.32,15.37,43.2,99.89,,,,
1972-73,41.29,15.5,43.05,99.84,,,,
1973-74,44.26,15.19,39.81,99.26,,,,
1974-75,41.46,16.58,41.34,99.38,,,,
1975-76,38.99,16.42,44.45,99.86,,,,
1976-77,37.21,17.15,45.71,100.07,,,,
1977-78,38.5,16.86,44.4,99.76,,,,
1978-79,36.9,18.12,44.83,99.85,,,,
1979-80,35.26,19.03,45.69,99.98,,,,
1980-81,37.1,17.84,44.66,99.6,,,,
1981-82,36.67,17.9,45.02,99.59,,,,
1982-83,35.75,17.62,46.23,99.6,,,,
1983-84,36.29,17.86,45.43,99.58,,,,
1984-85,34.96,18,46.65,99.61,,,,
1985-86,33.53,18.03,48.09,99.65,,,,
1986-87,32.5,17.93,49.25,99.68,,,,
1987-88,31.73,17.94,50.02,99.69,,,,
1988-89,32.99,17.7,48.98,99.67,,,,
1989-90,31.64,18.5,49.52,99.66,,,,
1990-91,31.62,18.32,49.75,99.69,,,,
1991-92,31.86,17.5,50.39,99.75,,,,
1992-93,31.22,17.88,50.63,99.73,,,,
1993-94,31.16,17.88,50.71,99.75,,,,
1994-95,30.67,18.95,50.09,99.71,,,,
1995-96,28.54,20.04,51.13,99.71,,,,
1996-97,29.28,19.48,50.92,99.68,,,,
1997-98,28.22,18.53,53,99.75,,,,
1998-99,27.95,17.88,53.95,99.78,,,,
1999-00,26.75,17.1,55.56,99.41,,,,
2000-01,25.31,17.72,56.53,99.56,,,,
2001-02,25.13,16.92,57.6,99.65,,,,
2002-03,23.39,17.3,59.07,99.76,,,,
2003-04,23.18,17.16,59.52,99.86,,,,
2004-05,22.77,20.03,57.19,99.99,,,,
2005-06,22.56,19.95,57.49,100,,,,
2006-07,21.61,21.24,57.14,99.99,,,,
2007-08,21.59,20.76,57.65,100,,,,
2008-09,21.07,20.33,58.61,100.01,,,,
2009-10,21.07,20.63,58.3,100,,,,
2010-11,21.9,20.63,57.47,100,,,,
2011-12,21.75,19.69,58.56,100,,,,
2012-13,21.31,19.43,59.26,100,,,,
2013-14,21.44,19.04,59.51,99.99,,,,
2014-15,20.88,18.78,60.34,100,,,,
2015-16,20.05,19.73,60.22,100,,,,
2016-17,20.38,19.26,60.37,100.01,,,,
2017-18,20.34,19.16,60.51,100.01,,,,
2018-19,19.32,18.8,61.87,99.99,,,,
